InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,return_flag,order_value,Month,Weekday,Hour,risk_score
C536379,D,Discount,-1,2010-12-01 09:41:00,27.5,14527.0,United Kingdom,1,-27.5,12,Wednesday,9,1.0
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-12-01 09:49:00,4.65,15311.0,United Kingdom,1,-4.65,12,Wednesday,9,0.9999999999996363
C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,1,-19.8,12,Wednesday,10,1.0
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,1,-6.959999999999999,12,Wednesday,10,1.0
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,1,-6.959999999999999,12,Wednesday,10,1.0
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,1,-6.959999999999999,12,Wednesday,10,1.0
C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,2010-12-01 10:24:00,3.45,17548.0,United Kingdom,1,-41.400000000000006,12,Wednesday,10,1.0
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,1,-19.8,12,Wednesday,10,1.0
C536391,22553,PLASTERS IN TIN SKULLS,-24,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,1,-39.6,12,Wednesday,10,1.0
C536506,22960,JAM MAKING SET WITH JARS,-6,2010-12-01 12:38:00,4.25,17897.0,United Kingdom,1,-25.5,12,Wednesday,12,1.0
C536543,22632,HAND WARMER RED RETROSPOT,-1,2010-12-01 14:30:00,2.1,17841.0,United Kingdom,1,-2.1,12,Wednesday,14,0.9999984820243398
C536543,22355,CHARLOTTE BAG SUKI DESIGN,-2,2010-12-01 14:30:00,0.85,17841.0,United Kingdom,1,-1.7,12,Wednesday,14,0.9999992168341659
C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,2010-12-01 14:33:00,1.95,12472.0,Germany,1,-7.8,12,Wednesday,14,1.0
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,2010-12-01 14:33:00,1.65,12472.0,Germany,1,-8.25,12,Wednesday,14,1.0
C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,2010-12-01 14:33:00,2.95,12472.0,Germany,1,-2.95,12,Wednesday,14,0.9999999964059307
C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,2010-12-01 14:33:00,1.25,12472.0,Germany,1,-8.75,12,Wednesday,14,1.0
C536548,22654,DELUXE SEWING KIT ,-1,2010-12-01 14:33:00,5.95,12472.0,Germany,1,-5.95,12,Wednesday,14,0.9999999999999998
C536548,22767,TRIPLE PHOTO FRAME CORNICE ,-2,2010-12-01 14:33:00,9.95,12472.0,Germany,1,-19.9,12,Wednesday,14,1.0
C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,2010-12-01 14:33:00,1.65,12472.0,Germany,1,-1.65,12,Wednesday,14,0.9999943639258024
C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,2010-12-01 14:33:00,0.85,12472.0,Germany,1,-1.7,12,Wednesday,14,0.9999997722438133
C536548,22077,6 RIBBONS RUSTIC CHARM,-6,2010-12-01 14:33:00,1.65,12472.0,Germany,1,-9.9,12,Wednesday,14,1.0
C536548,22631,CIRCUS PARADE LUNCH BOX ,-1,2010-12-01 14:33:00,1.95,12472.0,Germany,1,-1.95,12,Wednesday,14,0.9999989682359639
C536548,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,2010-12-01 14:33:00,8.5,12472.0,Germany,1,-17.0,12,Wednesday,14,1.0
C536548,21218,RED SPOTTY BISCUIT TIN,-3,2010-12-01 14:33:00,3.75,12472.0,Germany,1,-11.25,12,Wednesday,14,1.0
C536548,20957,PORCELAIN HANGING BELL SMALL,-1,2010-12-01 14:33:00,1.45,12472.0,Germany,1,-1.45,12,Wednesday,14,0.9999825188324768
C536548,22580,ADVENT CALENDAR GINGHAM SACK,-4,2010-12-01 14:33:00,5.95,12472.0,Germany,1,-23.8,12,Wednesday,14,1.0
C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,2010-12-02 09:10:00,2.95,14092.0,United Kingdom,1,-5.9,12,Thursday,9,0.9999999999999991
C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,2010-12-02 10:37:00,8.5,12471.0,Germany,1,-17.0,12,Thursday,10,1.0
C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,2010-12-02 10:46:00,14.95,14766.0,United Kingdom,1,-29.9,12,Thursday,10,1.0
C536642,21463,MIRRORED DISCO BALL ,-1,2010-12-02 11:56:00,5.95,14390.0,United Kingdom,1,-5.95,12,Thursday,11,0.9999999999999998
C536734,22780,LIGHT GARLAND BUTTERFILES PINK,-4,2010-12-02 12:50:00,4.25,16042.0,United Kingdom,1,-17.0,12,Thursday,12,1.0
C536734,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,2010-12-02 12:50:00,7.95,16042.0,United Kingdom,1,-7.95,12,Thursday,12,1.0
C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,2010-12-02 13:05:00,2.95,15922.0,United Kingdom,1,-5.9,12,Thursday,13,0.9999999999999984
C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,2010-12-02 14:23:00,0.03,15838.0,United Kingdom,1,-280.8,12,Thursday,14,1.0
C536758,21314,SMALL GLASS HEART TRINKET POT,-1,2010-12-02 14:25:00,2.1,13767.0,United Kingdom,1,-2.1,12,Thursday,14,0.9999984820243398
C536760,22175,PINK OWL SOFT TOY,-1,2010-12-02 14:29:00,2.95,17547.0,United Kingdom,1,-2.95,12,Thursday,14,0.9999999876413727
C536760,22273,FELTCRAFT DOLL MOLLY,-3,2010-12-02 14:29:00,2.95,17547.0,United Kingdom,1,-8.850000000000001,12,Thursday,14,1.0
C536807,22501,PICNIC BASKET WICKER LARGE,-2,2010-12-02 16:45:00,9.95,15834.0,United Kingdom,1,-19.9,12,Thursday,16,1.0
C536807,22778,GLASS CLOCHE SMALL,-1,2010-12-02 16:45:00,3.95,15834.0,United Kingdom,1,-3.95,12,Thursday,16,0.9999999999404348
C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,2010-12-02 16:58:00,0.85,16546.0,United Kingdom,1,-30.6,12,Thursday,16,1.0
C536812,22574,HEART WOODEN CHRISTMAS DECORATION,-192,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,1,-138.24,12,Thursday,16,1.0
C536812,22593,CHRISTMAS GINGHAM STAR,-144,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,1,-103.68,12,Thursday,16,1.0
C536812,22595,CHRISTMAS GINGHAM HEART,-144,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,1,-103.68,12,Thursday,16,1.0
C536812,22588,CARD HOLDER GINGHAM HEART,-192,2010-12-02 16:58:00,2.1,16546.0,United Kingdom,1,-403.2000000000001,12,Thursday,16,1.0
C536812,22130,PARTY CONE CHRISTMAS DECORATION ,-144,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,1,-103.68,12,Thursday,16,1.0
C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,2010-12-02 17:03:00,7.95,13958.0,United Kingdom,1,-15.9,12,Thursday,17,1.0
C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,2010-12-02 17:03:00,2.95,13958.0,United Kingdom,1,-17.700000000000003,12,Thursday,17,1.0
C536814,85066,CREAM SWEETHEART MINI CHEST,-2,2010-12-02 17:03:00,12.75,13958.0,United Kingdom,1,-25.5,12,Thursday,17,1.0
C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,2010-12-02 17:03:00,2.55,13958.0,United Kingdom,1,-30.6,12,Thursday,17,1.0
C536814,21258,VICTORIAN SEWING BOX LARGE,-1,2010-12-02 17:03:00,12.75,13958.0,United Kingdom,1,-12.75,12,Thursday,17,1.0
C536815,85175,CACTI T-LIGHT CANDLES,-1,2010-12-02 17:05:00,0.42,14443.0,United Kingdom,1,-0.42,12,Thursday,17,0.9677890992496098
C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,2010-12-02 17:05:00,1.25,14443.0,United Kingdom,1,-1.25,12,Thursday,17,0.999696642290359
C536816,21129,SILVER FISHING GNOME ,-2,2010-12-02 17:06:00,6.95,14443.0,United Kingdom,1,-13.9,12,Thursday,17,1.0
C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,2010-12-02 17:08:00,4.25,14156.0,EIRE,1,-4.25,12,Thursday,17,0.999999999995292
C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-02 17:08:00,3.25,14156.0,EIRE,1,-3.25,12,Thursday,17,0.9999999986484618
C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,2010-12-02 17:09:00,1.25,16995.0,United Kingdom,1,-1.25,12,Thursday,17,0.999696642290359
C536820,22877,NUMBER TILE COTTAGE GARDEN 9,-1,2010-12-02 17:14:00,1.95,18168.0,United Kingdom,1,-1.95,12,Thursday,17,0.9999942258478224
C536820,22869,NUMBER TILE COTTAGE GARDEN 1,-1,2010-12-02 17:14:00,1.95,18168.0,United Kingdom,1,-1.95,12,Thursday,17,0.9999942258478224
C536820,22878,NUMBER TILE COTTAGE GARDEN No,-1,2010-12-02 17:14:00,2.1,18168.0,United Kingdom,1,-2.1,12,Thursday,17,0.9999975294678929
C536820,21843,RED RETROSPOT CAKE STAND,-1,2010-12-02 17:14:00,10.95,18168.0,United Kingdom,1,-10.95,12,Thursday,17,1.0
C536822,22847,BREAD BIN DINER STYLE IVORY,-2,2010-12-02 17:19:00,16.95,14625.0,United Kingdom,1,-33.9,12,Thursday,17,1.0
